Ulasan,Nilai,Kategori
login,0.0,Netral
pasport salah,-0.4767,Negatif
hilang nomor hilang email sulit ngurusnya masuk parah,-0.8271,Negatif
buang kuota internet,0.0,Netral
proses aktivasinya jam selesai tugas bobok,0.0,Netral
tunggu kirim password,0.0,Netral
akses cctv baik tbtb pakai,0.4404,Positif
warga kasih vaksin sinovac warga kasih vaksin bagus moderna,0.9062,Positif
teras lihat bagus,0.4215,Positif
aktivasi salah ketik nik nyata duduk kota xxx balik xxx betul nik ganti email hp terima kasih,-0.1531,Negatif
tombol daftar ngumpet,-0.1779,Negatif
parah gagal proses,-0.7096,Negatif
daftar vaksin buka halaman putih,0.0,Netral
lot,0.0,Netral
buka service masuk layan pakai data seluler pakai wifi,0.0,Netral
bagus,0.4404,Positif
pas mohon ektp domisili ktp nunut cetak ulang ktp rusak ktny kta tinggl sehrus lhoo mnrut zudan lapang putar,-0.1531,Negatif
prank,0.0,Netral
eg fungsi warga ktp kota menggadu lapor eg kirim benah lapor aju lampu akses masjid neng gonku rung dikabulke,-0.2023,Negatif
versi ios guna iphone terima kasih,0.3612,Positif
wa ubah minggu ubah kirim wa email komplain wa respon paksa dftar ubah ktp lwat fitur service wa wa putar,-0.6369,Negatif
aneh,0.0,Netral
warga rt coba fitur adu prasarana pju sulit pilih lokasi,-0.6249,Negatif
jelek login pakai nama masak pakai orang,-0.5106,Negatif
promosi jual dodol sulit lot,-0.1027,Negatif
evektif masarakatnya bolak sistem riber pikir mangkas mudah urus sangkut data bantu,0.4404,Positif
download login sulit,-0.3612,Negatif
daftar service manfaat service,0.3818,Positif
inti urus surat lurah camat surat fisik kerja urus surat surat pakai maksimal detail laksana laksana urus surat biar rancu kerja syarat syarat upload service,0.0,Netral
slow respon minggu uninstall,0.0,Netral
rusak,-0.4767,Negatif
urus ktp hilang registrasi suruh foto ktp swafoto megang ktp logis,-0.3182,Negatif
update lot simpan baik,0.7269,Positif
fungsi daftar ganggu,-0.34,Negatif
foto profil error ubah sengaja klik foto salah pas ganti tulis foto profil hasil ubah refresh baik,-0.6486,Negatif
daftar masuk lupa password bantu biar masuk susahnyaaa,0.4019,Positif
sukses daftar link whatsapp stuck isi data gagal donggggg manual kantor zzzzz,-0.2023,Negatif
bantu semangat,0.5267,Positif
