content,score,sentimen,content_clean
Gak bisa loginnn woeee,1,0,login
Baik,3,0,
Masa pasport salah terus..gak jelas aplikasi ini,1,0,pasport salah aplikasi
"Hilang nomor sama hilang email susah ngurusnya,,ga bisa buat masuk lgi..parahhhhhhh",1,0,hilang nomor hilang email sulit ngurusnya masuk parah
apa ini ? buang2 kuota internet,1,0,buang kuota internet
Lama proses aktivasinya sudah lebih dari 1 jam gk selesai² apa jangan² petugasnya lgi bobok atau apa?,1,0,proses aktivasinya jam selesai tugas bobok
agak lama nunggu kiriman password.,3,0,tunggu kirim password
"Tolong akses CCTV diperbaiki, skrg tbtb ndak bisa dipakai🙏",2,0,akses cctv baik tbtb pakai
Warga Jogja dikasih vaksin yg biasa (sinovac) warga non jogja malah di kasih vaksin yg bagus (moderna). Sangat memihak 👎👎👎,2,0,warga yogyakarta kasih vaksin sinovac warga yogyakarta kasih vaksin bagus moderna
Yg di dalam teras 2 ga bisa di lihat dari aplikasi ini. Jadi kurang bagus....,1,0,teras lihat aplikasi bagus
Pada saat sy aktivasi pertama kali terdapat kesalahan ketik utk NIK sehingga sy dinyatakan sebagai penduduk luar kota Yogyakarta. Harusnya 3471xxx tp kebalik 3741xxx. Untuk pembetulan NIK ini bagaimana caranya? Tanpa harus ganti email dan No HP. Terima kasih,3,0,aktivasi salah ketik nik nyata duduk kota yogyakarta xxx balik xxx betul nik ganti email hp terima kasih
Tombol daftar ny ngumpet dimana,1,0,tombol daftar ngumpet
"Parah,gagal terus di akhir proses",1,0,parah gagal proses
Pendaftaran vaksin gk bs di buka...cm halaman putih aja,1,0,daftar vaksin buka halaman putih
Agak lemot,2,0,lot
"Buka Aplikasi JSS Saat masuk ke Layanan, tidak bisa memakai data seluler, kenapa harus pakai wifi?",2,0,buka aplikasi yogyakarta smart service masuk layan pakai data seluler pakai wifi
Bagus,3,0,bagus
"Kenapa pas permohonan ektp buat yg domisili ktp luar jogja tdk bsa sya cmn mau nunut Cetak ulang krna ktp sya rusak dn itu ktny tdk bsa hrus di tmpt kta tinggl sehrus ny bsa lhoo mnrut pak zudan tp dilapangan nyatanya diputar""",1,0,pas mohon ektp domisili ktp yogyakarta nunut cetak ulang ktp rusak ktny kta tinggl sehrus lhoo mnrut zudan lapang putar
setidaknya jngn prank lah...,1,0,prank
"Buat apa aplikasi ini eg ada fungsinya, sy warga ktp kota jogja sdh pernah menggadu diaplikasi ini, eh mau laporan lagi malah eg bisa ke kirim tolong dibenahi, aku laporan pengajuan lampu baru go akses masjid neng gonku e rung dikabulke",2,0,aplikasi eg fungsi warga ktp kota yogyakarta menggadu aplikasi lapor eg kirim benah lapor aju lampu akses masjid neng gonku rung dikabulke
Tolong buat versi ios untuk pengguna iphone. Makasih,1,0,versi ios guna iphone terima kasih
"Saya sdh wa utk perubahan C1 sdh seminggu perubahan nya blm jg dikirim baik lewat wa atau email, saya komplain lewat wa yg sama ttp tdk ad respon. Terpaksa saya dftar lg utk perubahan ktp dan c1 lg.... lwat fitur jss pun jg akhirnya wa lg dan wa lg ... seperti muter2 saja.",1,0,wa ubah minggu ubah kirim wa email komplain wa respon paksa dftar ubah ktp lwat fitur yogyakarta smart service wa wa putar
Aneh,1,0,aneh
Sudah beberapa warga RT sy yang mencoba fitur pengaduan prasarana PJU kesulitan ketika memilih lokasi...,3,0,warga rt coba fitur adu prasarana pju sulit pilih lokasi
Aplikasi jelek mau login pake nama sendiri masak gak bisa dah di pake orang lain katanya...,1,0,aplikasi jelek login pakai nama masak pakai orang
Gimana cara Promosi jualan ke DODOLAN ko susah bgt lemot,1,0,promosi jual dodol sulit lot
"Ini sangat tidak evektif sekali, bahkan membuat masarakatnya bolak balik, sistem, terlalu riber, saya pikir bisa memangkas waktu dan memudahkan semua urusan yg bersangkutan dengan data diri. Ternyata tidak membantu sama sekali.",1,0,evektif masarakatnya bolak sistem riber pikir mangkas mudah urus sangkut data bantu
Udah download mau login aja susah banget... aplikasi ga guna..,1,0,download login sulit aplikasi
"Saya baru daftar pada jss, sehingga belum mengetahui dan manfaat jss",3,0,daftar yogyakarta smart service manfaat yogyakarta smart service
"Dan pada intinya untuk pengurusan surat di kelurahan/kecamatan tetep menggunakan surat fisik yg akhirnya 2x kerja. Klo memang kepengurusan surat menyurat tidak bisa pake aplikasi ataupun aplikasi belum bisa bekerja secara maksimal tolong di jelaskan detail untuk yg sudah terlaksana atau belum terlaksana itu pengurusan surat apa saja agar ""JELAS"". Biar tidak bikin rancu 2x kerja, jelaskan juga syarat syarat yg harus di upload di aplikasi apa saja itu baru smart service.",1,0,inti urus surat lurah camat surat fisik kerja urus surat surat pakai aplikasi aplikasi maksimal detail laksana laksana urus surat biar rancu kerja syarat syarat upload aplikasi smart service
Slow respon.. pertanyaan saya 1 minggu tidak di jawab.. uninstall aja..,1,0,slow respon minggu uninstall
Aplikasi rusak,1,0,aplikasi rusak
"Mau ngurus ktp hilang, tapi registrasinya suruh foto ktp dan swafoto sambil megang ktp, tolong bikin aplikasi yang logis lah",1,0,urus ktp hilang registrasi suruh foto ktp swafoto megang ktp aplikasi logis
