content,score,sentimen
Gak bisa loginnn woeee,1,0
Baik,3,0
Masa pasport salah terus..gak jelas aplikasi ini,1,0
"Hilang nomor sama hilang email susah ngurusnya,,ga bisa buat masuk lgi..parahhhhhhh",1,0
apa ini ? buang2 kuota internet,1,0
Lama proses aktivasinya sudah lebih dari 1 jam gk selesai² apa jangan² petugasnya lgi bobok atau apa?,1,0
agak lama nunggu kiriman password.,3,0
"Tolong akses CCTV diperbaiki, skrg tbtb ndak bisa dipakai🙏",2,0
Warga Jogja dikasih vaksin yg biasa (sinovac) warga non jogja malah di kasih vaksin yg bagus (moderna). Sangat memihak 👎👎👎,2,0
Yg di dalam teras 2 ga bisa di lihat dari aplikasi ini. Jadi kurang bagus....,1,0
Pada saat sy aktivasi pertama kali terdapat kesalahan ketik utk NIK sehingga sy dinyatakan sebagai penduduk luar kota Yogyakarta. Harusnya 3471xxx tp kebalik 3741xxx. Untuk pembetulan NIK ini bagaimana caranya? Tanpa harus ganti email dan No HP. Terima kasih,3,0
Tombol daftar ny ngumpet dimana,1,0
"Parah,gagal terus di akhir proses",1,0
Pendaftaran vaksin gk bs di buka...cm halaman putih aja,1,0
Agak lemot,2,0
"Buka Aplikasi JSS Saat masuk ke Layanan, tidak bisa memakai data seluler, kenapa harus pakai wifi?",2,0
Bagus,3,0
"Kenapa pas permohonan ektp buat yg domisili ktp luar jogja tdk bsa sya cmn mau nunut Cetak ulang krna ktp sya rusak dn itu ktny tdk bsa hrus di tmpt kta tinggl sehrus ny bsa lhoo mnrut pak zudan tp dilapangan nyatanya diputar""",1,0
setidaknya jngn prank lah...,1,0
"Buat apa aplikasi ini eg ada fungsinya, sy warga ktp kota jogja sdh pernah menggadu diaplikasi ini, eh mau laporan lagi malah eg bisa ke kirim tolong dibenahi, aku laporan pengajuan lampu baru go akses masjid neng gonku e rung dikabulke",2,0
Tolong buat versi ios untuk pengguna iphone. Makasih,1,0
"Saya sdh wa utk perubahan C1 sdh seminggu perubahan nya blm jg dikirim baik lewat wa atau email, saya komplain lewat wa yg sama ttp tdk ad respon. Terpaksa saya dftar lg utk perubahan ktp dan c1 lg.... lwat fitur jss pun jg akhirnya wa lg dan wa lg ... seperti muter2 saja.",1,0
Aneh,1,0
Sudah beberapa warga RT sy yang mencoba fitur pengaduan prasarana PJU kesulitan ketika memilih lokasi...,3,0
Aplikasi jelek mau login pake nama sendiri masak gak bisa dah di pake orang lain katanya...,1,0
Gimana cara Promosi jualan ke DODOLAN ko susah bgt lemot,1,0
"Ini sangat tidak evektif sekali, bahkan membuat masarakatnya bolak balik, sistem, terlalu riber, saya pikir bisa memangkas waktu dan memudahkan semua urusan yg bersangkutan dengan data diri. Ternyata tidak membantu sama sekali.",1,0
Udah download mau login aja susah banget... aplikasi ga guna..,1,0
"Saya baru daftar pada jss, sehingga belum mengetahui dan manfaat jss",3,0
"Dan pada intinya untuk pengurusan surat di kelurahan/kecamatan tetep menggunakan surat fisik yg akhirnya 2x kerja. Klo memang kepengurusan surat menyurat tidak bisa pake aplikasi ataupun aplikasi belum bisa bekerja secara maksimal tolong di jelaskan detail untuk yg sudah terlaksana atau belum terlaksana itu pengurusan surat apa saja agar ""JELAS"". Biar tidak bikin rancu 2x kerja, jelaskan juga syarat syarat yg harus di upload di aplikasi apa saja itu baru smart service.",1,0
Slow respon.. pertanyaan saya 1 minggu tidak di jawab.. uninstall aja..,1,0
Aplikasi rusak,1,0
"Mau ngurus ktp hilang, tapi registrasinya suruh foto ktp dan swafoto sambil megang ktp, tolong bikin aplikasi yang logis lah",1,0
Sering update terus tp sama aja masih sering lemot bikin penyimpanan banyak lagi. Tolong diperbaiki,2,0
ga fungsi...uda daftar gangguan terus,1,0
"Foto profil nya eror ga bisa di ubah, jadi saya ga sengaja klik foto yang salah pas mau di ganti lagi ga bisa padahal udah ada tulisan ""foto profil anda berhasil di ubah"" dan udah saya refresh² juga tetap ga bisa tolong di perbaiki",2,0
"Pernah daftar, mau masuk lagi lupa password, ngga ada bantuan apa gtu biar masuk lagi, susahnyaaa",2,0
"Katanya sih udah sukses pendaftaran, tp link dr whatsapp tidak stuck. Percuma dong isi data dr td tp gagal donggggg tetep kudu bikin manual kekantor. Zzzzz",2,0
"Sangat membantu, tetap semangat jogja",3,0
"mau daftar vaksin buat adik saya di aplikasi jss udah login udah klik tombok vaksinasi suruh daftar lewat wa,nah udah di wa malah di suruh daftar lewat aplikasi jss lagi.buka aplikasi jss juga sering eror eror terus njok masyarakat kon kepiye?saya sebagai warga sangat kecewa dengan aplikasi jss bukannya mempermudah masyarakat melainkan malah mempersulit.mohon lebih di perbaiki lagi.sekian kritikan dari saya semoga di lihat di dengarkan dan di laksanakan untuk perbaikan aplikasinya.Matur Suwun🙏",1,0
"Aplikasi cacat,,,log out trus....cape",1,0
"Mau chat CS nya ga bisa bisa mulu. Cuma layar putih doang, padahal sinyal bagus",2,0
Untuk membuat akun awal selalu gagal di foto KTP apalagi mau mempergunakan aplikasi JJS 🤦,1,0
Kemarin untuk daftar pelatihan bisa Namun untuk pelayanan kel&kec dan beberapa keperluan lain tidak bisa Selalu kembali ke halaman awal,3,0
Harus lebih ditingkatkan lagi,3,0
Untuk wilayah Sleman belum bisa akses..kembangin lagi,3,0
aplikasi presensi online kurang merakyat,1,0
error terus,1,0
Setelah diupdate mlh susah..bgus an kmrin,1,0
Payah... Setelah diupdate malah nge lef terus,1,0
Untuk apa diberi pilihan bayar tetapi tidak ada pilihannya??? Memakai jss supaya cepat malah bikin buang buang waktu,1,0
"Cctv nya kurang rata, gabisa mantau cowoku jalan sama selingkuhannya",3,0
Kok sekarang ngak bisa buat login wifi si kot pemkot pekok,1,0
Bad application is difficult to login,1,0
Sering gag konek harus sering meng install ulang.,1,0
"Pelayanan KTP tdk bisa di klik, layanan WA tdk ada respon, Tanya ke Balai Kota diarahkan lagi ke Jss... Padahal Aplikasinya selalu error",1,0
"susah untuk masuk, setiap masuk harus ganti pasword. perbaiki layanannya dong. Bikikn pusing.",2,0
Coba dululah...,3,0
Tul,3,0
"KTP KU HILANG BAPAK/IBU, MAU LOGIN SWAVIDEO GIMANA KTP ASLINYA AJA HILANG COBA. GANTILAH PAKE KK KAN BISA, BAPAK/IBU. MAKANYA KENAPA SAYA LOGIN KE JSS KARNA INGIN MENGAJUKAN PENGGANTIAN KTP. YAA ALLAH T_T",1,0
kurang cepat responnya,3,0
Saya mau daftar vaksin kok Gk bisa tlg dibantu...,1,0
