content,score
Good,5
Mungkin untuk cctv area sleman dan tempel bisa ditambahkan,4
Kota Yogyakarta Istimewa,5
"Tolong registrasi di permudah dong, ga usah ada vermuk, yg kamera nya jelek susah mau daftar",3
"Mau ngurus ktp hilang, tapi registrasinya suruh foto ktp dan swafoto sambil megang ktp, tolong bikin aplikasi yang logis lah",1
tidak bisa registrasi tolong di perbaikin developers bug swavideo error,2
Buat Dinas,5
Ok,5
Bagus dan sangat membantu warga Saya sebagai warga kota jogja sangat bangga dengan aplikasi jss ini...,5
Good,5
"Bagus,walaupun ada sebagian kendala.",5
Vźxpb,3
Aplikasi bagus....,5
Verifikasinya lamaaaaaaaaaaaa,1
Good aplikasi,5
Untuk apa diberi pilihan bayar tetapi tidak ada pilihannya??? Memakai jss supaya cepat malah bikin buang buang waktu,1
Aplikasi rusak,1
Bad application is difficult to login,1
Mantap,5
"Wifinya ndak bisa conect , sering muncul notifikasi : "" situs ini tidak bisa menyediakan jaringan yang aman "" kenapa tuh ?",1
wifinya sering error pakkkk,1
👍🏽,5
"Aplikasi cacat,,,log out trus....cape",1
"Untuk fitur Live chat JSS respon nya kurang cepat dan kadang respon nya membingungkan karena yang membalas chat nya menggunakan bot. Harusnya admin live chat JSS dari sumber daya manusia yang ada di Diskominfosan saja, agar pertanyaan masyarakat dapat dijawab secara jelas.",2
Payah susah buat login,1
Angel sebagian tempat ko mengunakan catphe untuk masuk di kecamatan kelurahan di akses pun susah jare fasilitas go warga kota tapi gak iso guna cm sinyal tok sek jebak arep login ura iso .......,2
"Baru sampai pada proses pendaftaran saja sudah rumit dan ribet harus menggunakan swafoto dan swavideo dengan KTP. Niatnya mau mempermudah malah rumit, proses verifikasi dari kominfo memakan waktu 2 hari.",1
error terus,1
Tiba² keluar dan masuk lagi gak bisa padahal akun dan password sudah benar...dan sebelumnya upload identitas gak bisa terus...piye to iki...aplikasi sudah siap belum,2
Memudahkan dalam pengurusan kependudukan,5
Sudah 8x percobaan mengisi dan meng-upload berkas....sinyal selalu gagal tersambung...!!!!!! Aplikasi cacat..!!!! Pdhal sinyal aman2 saja buat yang Lain.,1
Mantab,5
"Mantap sangat membantu, tapi klo boleh kasih saran d setiap sudut jln yg d rawan kejahatan d pasang cctv atau perlu semua kota dn desa supaya bisa termpantau monitor dn bisa langsung memberi tahukan polisi, dn sangat membantu jika criminal melarikan diri bisa terpantau posisinya",5
kenapa ya dari awal sampai sekarang ini lebih sering tidak bisa membuka aplikasi dengan alasan karena dalam perbaikan....,2
Sangat inovatif,5
"mau daftar free hotspot susah, udah download sertifikat personal pas mau ekstrak hrs masukin pass akun jss tapi salah trus ga bisa pdhl uda bnr pass akun nya",3
Free WiFinya susah di akses,5
Cctv lancar...mantap buat mantau keadaan,5
"KTP KU HILANG BAPAK/IBU, MAU LOGIN SWAVIDEO GIMANA KTP ASLINYA AJA HILANG COBA. GANTILAH PAKE KK KAN BISA, BAPAK/IBU. MAKANYA KENAPA SAYA LOGIN KE JSS KARNA INGIN MENGAJUKAN PENGGANTIAN KTP. YAA ALLAH T_T",1
Aplikasi gak jelas masa saat verifikasi gagal terus,1
Tiap masuk wifi pemkot mental terus,1
Bagus,5
tambah cctv area piyungan ketimur/ kearah wonsa,3
Gk bisa login wifi woi,1
"Tolong ditambah tema gelap atau tema adaptif, karena saat membuka aplikasi ini di malam hari rasanya sangat tidak nyaman.",3
"Mau chat CS nya ga bisa bisa mulu. Cuma layar putih doang, padahal sinyal bagus",2
Keren sangat membantu,5
Terimakasih... sangat mempermudah masyarakat,5
Pelayanan ramah dan dibantu dalam pengarahan. Pertahankan pelayanan.,5
"ini aplikasi pemerintahan tapi mau buka kuk malah masuk iklan2, mohon diperbaiki",3
Ribet mau login....susah.. .,1
Sulit,1
Sip lah,4
Mempermudah,5
Lebih mempermudah segala urusan tanpa harus antri,5
Mau login aja ribett banget dan lamaa,1
sewaktu saya buka. aplikasi selalu menampilkan bug,1
Lancar,5
Mantap,5
Mau riset password susah daftarin email yg Bru GK ada bisa,1
Udah lama-lama buat akun cek pbb sleman malah ga bisa. Kirain punya provinsi ternyata cuma sebatas Kota Yogyakarta doang. Mending langsung cek e-commerce,1
sangat membantu dan aplikasi sangat lancar no lag dan no iklan 👍😁 jos pokoe,5
Bagus sekali. Sangat membantu masyarakat. 👍,5
Jss selalu di hati,5
"Kurang bagus, jelek, tidak bisa reset password",2
Memudahkan layanan untuk masyarakat,5
"Semoga lebih meningkat supaya lebih cepat loadingnya, namun tetap ringan di gadget.",5
Bagus banget,5
Bagus aplikaisinya,5
JSS MEMUDAHKAN PELAYANAN PABLIK SEPERTI KIR UJI EMISI KENDARAAN . LAYANAN KEPENDUDUKAN. ADUAN. JAJANAN DAN LAIN LAIN POKOK NYA JSS OKE DEH,5
"Satu untuk semua kebutuhan, tingkatkan lagi sistemnya biar kalau setiap akses bisa cepat loading nya. Terimakasih",5
Aplikasi yang sangat membantu,5
