,count
aplikasi,127
bagus,63
membantu,52
jogja,51
daftar,46
nya,45
yg,44
jss,43
kota,40
gak,38
warga,35
ktp,33
login,32
susah,30
masyarakat,28
layanan,28
bermanfaat,27
masuk,26
pelayanan,25
aja,25
mohon,23
ga,22
aplikasinya,22
akses,21
udah,20
wifi,20
cepat,20
mantap,20
cctv,19
vaksin,18
data,17
semoga,16
tp,16
bikin,15
respon,14
akun,14
online,14
wa,13
pegawai,13
gagal,13
yogyakarta,13
diperbaiki,13
memudahkan,13
tdk,12
pendaftaran,12
banget,12
mudah,12
pas,11
foto,11
error,11
biar,11
bgt,11
gk,11
proses,11
salah,10
fitur,10
pake,10
smart,10
lancar,10
kerja,10
ribet,10
update,10
gabisa,10
pemerintah,10
trus,10
info,9
jam,9
eror,9
perbaiki,9
oke,9
presensi,9
ulang,9
dibuka,9
pemkot,8
maaf,8
surat,8
klik,8
orang,8
gimana,8
mempermudah,8
diakses,8
parah,8
nik,8
hp,8
lemot,7
dr,7
sih,7
kk,7
kasih,7
trs,7
sy,7
ngurus,7
manfaat,7
urusan,7
keren,7
langsung,7
perbaikan,7
maju,7
buka,7
tingkatkan,7
good,7
pakai,7
laporan,6
terimakasih,6
perubahan,6
suruh,6
d,6
g,6
bener,6
hilang,6
apk,6
log,6
rusak,6
jelek,6
lambat,6
no,6
kecewa,6
ganti,6
download,6
coba,6
utk,5
lg,5
sesuai,5
blm,5
akta,5
dipersulit,5
service,5
mantab,5
upload,5
diy,5
sistem,5
muter,5
lengkap,5
absen,5
x,5
bug,5
dah,5
tetep,5
disuruh,5
verifikasi,5
top,5
bs,5
ra,5
password,5
diarahkan,5
teng,5
an,5
muncul,5
e,5
publik,5
sinyal,5
chat,5
permohonan,5
in,5
kemarin,4
berjalan,4
tampilan,4
apl,4
dipakai,4
vaksinasi,4
semangat,4
isi,4
pengurusan,4
apik,4
putih,4
simple,4
tv,4
lbh,4
bintang,4
swafoto,4
aktivasi,4
mending,4
asli,4
lihat,4
kali,4
dgn,4
rumit,4
ramah,4
kependudukan,4
instal,4
t,4
halaman,4
karna,4
niat,4
min,4
siip,4
registrasi,4
iso,4
terima,4
mendaftar,4
lgi,4
rt,4
memakai,4
jos,4
live,4
trouble,4
menu,4
sdh,4
informasi,4
sya,4
pengguna,4
helpdesk,4
dn,4
anak,4
hotspot,4
bsa,4
identitas,4
free,4
beda,4
pusing,3
mengurus,3
istimewa,3
ampun,3
si,3
swavideo,3
berguna,3
opsi,3
nyambung,3
payah,3
jalan,3
dibutuhkan,3
nomor,3
doang,3
kominfo,3
jjs,3
user,3
cari,3
dokumen,3
wilayah,3
selesai,3
sleman,3
diupdate,3
terintegrasi,3
ditambah,3
penggantian,3
pilihan,3
petugasnya,3
mengajukan,3
juni,3
terbaru,3
deh,3
makan,3
ujung,3
lumayan,3
